Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,PutObject,USE1-USW1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 10:00:00,12/01/23 11:00:00,716
AmazonS3,PutObject,USE1-EU-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 08:00:00,12/01/23 09:00:00,718
AmazonS3,PutObject,USE1-USW2-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 21:00:00,12/01/23 22:00:00,715
AmazonS3,PutObject,USE1-EUC1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 15:00:00,12/01/23 16:00:00,721
AmazonS3,PutObject,USE1-APN3-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 00:00:00,12/01/23 01:00:00,735
AmazonS3,PutObject,USE1-CAN1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 13:00:00,12/01/23 14:00:00,718
AmazonS3,PutObject,USE1-APS2-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 19:00:00,12/01/23 20:00:00,721
AmazonS3,PutObject,USE1-EUW2-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 19:00:00,12/01/23 20:00:00,720
AmazonS3,PutObject,USE1-EU-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 11:00:00,12/01/23 12:00:00,718
AmazonS3,PutObject,USE1-EUW2-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 20:00:00,12/01/23 21:00:00,720
AmazonS3,PutObject,C3DataTransfer-In-Bytes,sumanthmuvva-logs,12/01/23 08:00:00,12/01/23 09:00:00,713
AmazonS3,PutObject,USE1-CAN1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 23:00:00,12/02/23 00:00:00,722
AmazonS3,PutObject,Requests-Tier1,sumanthmuvva-logs,12/01/23 16:00:00,12/01/23 17:00:00,18
AmazonS3,PutObject,USE1-EUC1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 13:00:00,12/01/23 14:00:00,723
AmazonS3,PutObject,USE1-EUC1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 23:00:00,12/02/23 00:00:00,719
AmazonS3,PutObject,USE1-APS3-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 20:00:00,12/01/23 21:00:00,721
AmazonS3,PutObject,USE1-APN3-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 21:00:00,12/01/23 22:00:00,724
AmazonS3,PutObject,USE1-EUN1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 00:00:00,12/01/23 01:00:00,718
AmazonS3,PutObject,C3DataTransfer-In-Bytes,sumanthmuvva-logs,12/01/23 12:00:00,12/01/23 13:00:00,711
AmazonS3,PutObject,Requests-Tier1,sumanthmuvva-logs,12/01/23 22:00:00,12/01/23 23:00:00,16
AmazonS3,PutObject,USE1-CAN1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 15:00:00,12/01/23 16:00:00,720
AmazonS3,PutObject,USE1-CAN1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 06:00:00,12/01/23 07:00:00,721
AmazonS3,PutObject,USE1-USW2-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 00:00:00,12/01/23 01:00:00,729
AmazonS3,PutObject,USE1-APS3-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 02:00:00,12/01/23 03:00:00,719
AmazonS3,PutObject,USE1-EUN1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 21:00:00,12/01/23 22:00:00,721
AmazonS3,PutObject,USE1-USW1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 17:00:00,12/01/23 18:00:00,720
AmazonS3,PutObject,C3DataTransfer-In-Bytes,sumanthmuvva-logs,12/01/23 01:00:00,12/01/23 02:00:00,726
AmazonS3,PutObject,USE1-APS1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 19:00:00,12/01/23 20:00:00,719
AmazonS3,PutObject,USE1-SAE1-AWS-In-Bytes,sumanthmuvva-logs,12/01/23 17:00:00,12/01/23 18:00:00,717
